date,open,high,low,close,adjusted_close,volume,ticker
2023-03-16,193.33,197.91,192.8,197.74,190.8184,3225511,VTI.US
2023-03-17,197.25,197.43,194.38,195.19,188.3577,2902376,VTI.US
2023-03-20,195.75,197.38,195.29,196.89,189.9982,2898137,VTI.US
2023-03-21,198.76,200.0499,198.23,199.7,192.7098,2421657,VTI.US
2023-03-22,199.85,201.405,196.12,196.13,189.2648,2187887,VTI.US
2023-03-23,196.85,198.95,194.25,195.7,189.6097,2629691,VTI.US
2023-03-24,194.88,196.97,193.65,196.93,190.8014,2324909,VTI.US
2023-03-27,198.27,198.6,196.92,197.43,191.2859,2425422,VTI.US
2023-03-28,197.2,197.65,196.14,197.15,191.0146,3678717,VTI.US
2023-03-29,199.09,200.09,198.61,199.99,193.7662,3486491,VTI.US
2023-03-30,201.27,201.59,200.12,201.07,194.8126,2259151,VTI.US
2023-03-31,201.57,204.19,201.57,204.1,197.7483,2986275,VTI.US
2023-04-03,203.72,204.99,203.33,204.64,198.2715,3068203,VTI.US
2023-04-04,205.0,205.06,202.53,203.27,196.9441,2881821,VTI.US
2023-04-05,202.69,203.16,201.58,202.53,196.2271,3119362,VTI.US
2023-04-06,202.24,203.3376,201.45,203.2,196.8763,1989792,VTI.US
2023-04-10,202.0,203.68,201.65,203.66,197.322,2545287,VTI.US
2023-04-11,203.87,204.64,203.4,203.87,197.5254,3389481,VTI.US
2023-04-12,205.0,205.26,202.71,203.01,196.6922,2431429,VTI.US
2023-04-13,203.53,205.8,203.34,205.65,199.25,2197609,VTI.US
2023-04-14,205.33,206.5,203.81,205.08,198.6978,4142040,VTI.US
2023-04-17,205.03,205.91,204.45,205.9,199.4923,2780375,VTI.US
2023-04-18,206.68,206.83,205.3,206.0,199.5892,2784451,VTI.US
2023-04-19,205.03,206.478,204.97,206.1,199.686,2531413,VTI.US
2023-04-20,204.46,205.77,204.07,204.82,198.4459,2563130,VTI.US
2023-04-21,204.96,205.24,203.92,205.0,198.6203,2341577,VTI.US
2023-04-24,204.9,205.44,204.1,205.08,198.6978,3704562,VTI.US
2023-04-25,204.02,204.23,201.615,201.66,195.3842,2606411,VTI.US
2023-04-26,202.16,202.5094,200.41,200.75,194.5025,2762335,VTI.US
2023-04-27,201.86,204.69,201.83,204.52,198.1552,2254594,VTI.US
2023-04-28,204.0,206.3,204.0,206.3,199.8798,2309056,VTI.US
2023-05-01,206.0,207.18,205.99,206.2,199.7829,2838492,VTI.US
2023-05-02,205.62,205.9,202.07,203.68,197.3414,2700634,VTI.US
2023-05-03,203.85,205.49,202.35,202.49,196.1884,2153981,VTI.US
2023-05-04,201.84,202.02,200.2,200.98,194.7254,2577646,VTI.US
2023-05-05,202.85,205.27,202.7864,204.69,198.3199,1942273,VTI.US
2023-05-08,204.93,205.1,204.12,204.91,198.5331,2632608,VTI.US
2023-05-09,204.03,204.63,203.8,204.07,197.7192,1802529,VTI.US
2023-05-10,205.62,205.9395,203.05,204.97,198.5912,2677618,VTI.US
2023-05-11,204.47,204.7,203.49,204.7,198.3296,2108256,VTI.US
2023-05-12,205.04,205.28,202.93,204.22,197.8646,2252503,VTI.US
2023-05-15,204.17,205.38,203.71,205.09,198.7075,3240021,VTI.US
2023-05-16,204.41,204.81,203.47,203.5,197.167,1884873,VTI.US
2023-05-17,204.46,206.45,203.65,206.14,199.7248,2650070,VTI.US
2023-05-18,206.0,208.37,205.82,208.19,201.711,2370198,VTI.US
2023-05-19,208.64,208.84,207.07,207.69,201.2266,2683854,VTI.US
2023-05-22,207.68,208.81,207.2,208.05,201.5754,2229402,VTI.US
2023-05-23,207.3,207.99,205.64,205.85,199.4438,2386678,VTI.US
2023-05-24,205.0,205.13,203.69,204.26,197.9033,2083662,VTI.US
2023-05-25,205.87,206.325,204.53,205.65,199.25,2230416,VTI.US
2023-05-26,206.0,208.72,205.9702,208.36,201.8757,2347048,VTI.US
2023-05-30,209.63,209.68,207.69,208.43,201.9435,2772306,VTI.US
2023-05-31,207.49,207.975,206.3031,207.18,200.7324,2325393,VTI.US
2023-06-01,207.3,209.8,206.65,209.25,202.738,2696735,VTI.US
2023-06-02,210.68,213.085,210.5,212.71,206.0903,3018681,VTI.US
2023-06-05,212.74,213.364,207.465,212.15,205.5478,2584978,VTI.US
2023-06-06,212.0,213.37,211.6367,213.12,206.4876,2227748,VTI.US
2023-06-07,213.34,214.12,212.39,212.7,206.0806,2272783,VTI.US
2023-06-08,212.63,213.97,212.085,213.7,207.0495,1943444,VTI.US
2023-06-09,214.1,215.08,213.41,213.93,207.2724,2086509,VTI.US
2023-06-12,214.5,215.86,214.05,215.85,209.1326,2481229,VTI.US
2023-06-13,216.78,217.77,216.46,217.44,210.6731,4295664,VTI.US
2023-06-14,217.55,218.5293,215.7,217.44,210.6731,4131038,VTI.US
2023-06-15,216.99,220.71,216.91,220.09,213.2407,2895122,VTI.US
2023-06-16,221.42,221.42,219.13,219.26,212.4365,4763693,VTI.US
2023-06-20,218.38,218.67,217.07,218.18,211.3901,3157722,VTI.US
2023-06-21,217.82,218.0786,216.7,216.98,210.2275,2713394,VTI.US
2023-06-22,216.51,217.59,216.17,217.56,210.7894,2669590,VTI.US
2023-06-23,215.13,215.89,214.58,214.94,209.0456,3338434,VTI.US
2023-06-26,214.8,215.82,214.14,214.19,208.3161,2846758,VTI.US
2023-06-27,214.75,217.11,214.55,216.8,210.8546,2653041,VTI.US
2023-06-28,216.48,217.51,215.96,216.98,211.0296,4362128,VTI.US
2023-06-29,216.9,218.1,216.66,218.02,212.0411,2857869,VTI.US
2023-06-30,219.61,220.86,219.48,220.28,214.2391,3444112,VTI.US
2023-07-03,220.28,220.94,220.05,220.94,214.881,2423617,VTI.US
2023-07-05,220.08,220.6099,219.63,220.27,214.2294,3341767,VTI.US
2023-07-06,218.54,218.54,216.8319,218.31,212.3232,3404304,VTI.US
2023-07-07,217.91,220.08,217.81,218.04,212.0606,2771947,VTI.US
2023-07-10,217.9,219.03,217.8004,218.99,212.9845,2080530,VTI.US
2023-07-11,219.38,220.93,219.01,220.71,214.6573,2158194,VTI.US
2023-07-12,222.57,223.1,221.86,222.4,216.301,3030200,VTI.US
2023-07-13,223.46,224.64,223.13,224.28,218.1294,4113258,VTI.US
2023-07-14,224.85,224.86,223.5,223.95,217.8085,2914073,VTI.US
2023-07-17,223.95,225.36,223.76,224.8,218.6352,2688802,VTI.US
2023-07-18,224.7,226.92,224.53,226.59,220.3761,2949451,VTI.US
2023-07-19,227.08,227.76,226.68,227.18,220.9499,3106669,VTI.US
2023-07-20,226.61,227.01,225.14,225.54,219.3549,2651745,VTI.US
2023-07-21,226.42,226.536,225.46,225.52,219.3354,2296817,VTI.US
2023-07-24,226.05,226.71,225.64,226.32,220.1135,2291652,VTI.US
2023-07-25,226.02,227.5999,226.02,226.89,220.6679,2084431,VTI.US
2023-07-26,226.43,227.77,226.05,227.06,220.8332,1985589,VTI.US
2023-07-27,228.81,228.965,224.83,225.31,219.1312,4730599,VTI.US
2023-07-28,227.17,228.03,226.7701,227.66,221.4167,2260779,VTI.US
2023-07-31,228.12,228.56,227.56,228.35,222.0878,2659508,VTI.US
2023-08-01,227.65,228.0,227.07,227.73,221.4848,3062774,VTI.US
2023-08-02,225.99,226.14,224.07,224.5,218.3434,4243193,VTI.US
2023-08-03,223.48,224.7699,222.99,223.85,217.7112,2927252,VTI.US
2023-08-04,224.74,225.84,222.61,222.9,216.7873,3024603,VTI.US
2023-08-07,223.72,224.71,223.2194,224.61,218.4504,2376584,VTI.US
2023-08-08,223.2,223.768,221.7,223.57,217.4389,2796353,VTI.US
2023-08-09,223.66,223.69,221.56,221.97,215.8828,2203402,VTI.US
2023-08-10,223.24,224.878,221.34,222.01,215.9217,3033313,VTI.US
2023-08-11,221.1,222.41,220.77,221.8,215.7174,2220365,VTI.US
2023-08-14,221.32,222.92,221.05,222.9,216.7873,2435097,VTI.US
2023-08-15,222.0,222.24,220.04,220.37,214.3267,2997270,VTI.US
2023-08-16,220.13,220.96,218.55,218.55,212.5566,2933529,VTI.US
2023-08-17,219.28,219.5,216.55,216.76,210.8157,3135922,VTI.US
2023-08-18,215.23,217.56,215.03,217.01,211.0588,2933259,VTI.US
2023-08-21,217.41,218.68,216.36,218.26,212.2745,2755426,VTI.US
2023-08-22,219.22,219.22,217.38,217.68,211.7104,2892264,VTI.US
2023-08-23,218.08,220.4,218.08,220.06,214.0252,2560157,VTI.US
