tradetime,call_vol,put_vol,pc_spread,pc_spread_rank_full,pc_spread_percentile_full,pc_spread_zscore_full
2024-10-14,0.1436,0.2087,0.06509999999999999,0.7669714602382931,0.9668674698795181,1.7483082467354536
2024-11-14,0.1956,0.2456,0.05000000000000002,0.7251316154059297,0.9337349397590361,1.3578377058207298
2024-11-24,0.0944,0.1453,0.050900000000000015,0.7276253809919645,0.9367469879518072,1.3811107844182962
2024-11-26,0.0972,0.1367,0.03949999999999999,0.6960376835688555,0.9006024096385542,1.0863184555157885
2024-12-01,0.0785,0.1296,0.05109999999999999,0.7281795511221945,0.9397590361445783,1.3862825796621991
2024-12-11,0.0748,0.1429,0.0681,0.7752840121917428,0.9728915662650602,1.8258851753940082
2024-12-24,0.0798,0.1471,0.06730000000000001,0.773067331670823,0.9698795180722891,1.8051979944183942
2025-01-12,0.1772,0.2493,0.0721,0.7863674147963424,0.9759036144578314,1.929321080272081
2025-01-14,0.1276,0.2768,0.1492,1.0,1.0,3.9230481467969316
2025-01-26,0.1567,0.2022,0.045499999999999985,0.7126627874757551,0.9126506024096386,1.2414723128328973
2025-02-11,0.1327,0.1857,0.05299999999999999,0.7334441673593793,0.9427710843373494,1.4354146344792837
2025-02-18,0.1266,0.2324,0.1058,0.8797450817400942,0.9939759036144579,2.8007685788698433
2025-02-20,0.1046,0.1695,0.06490000000000001,0.7664172901080633,0.963855421686747,1.7431364514915506
2025-02-25,0.1548,0.2118,0.056999999999999995,0.744527569963979,0.9457831325301205,1.5388505393573564
2025-03-03,0.2078,0.2694,0.06159999999999996,0.7572734829592684,0.9518072289156626,1.6578018299671393
2025-03-04,0.1799,0.263,0.08310000000000001,0.8168467719589915,0.9879518072289156,2.213769818686781
2025-03-12,0.2254,0.2899,0.0645,0.7653089498476032,0.9578313253012049,1.732792861003743
2025-03-13,0.1728,0.2211,0.04829999999999998,0.7204211692989748,0.9246987951807228,1.313877446247548
2025-03-14,0.1916,0.2899,0.0983,0.85896370185647,0.9909638554216867,2.606826257223457
2025-03-18,0.1917,0.2566,0.06489999999999999,0.766417290108063,0.9608433734939759,1.74313645149155
2025-03-26,0.1756,0.2938,0.1182,0.9141036298143529,0.9969879518072289,3.1214198839918685
2025-04-01,0.1963,0.2462,0.0499,0.7248545303408146,0.9307228915662651,1.3552518081987777
2025-04-20,0.2107,0.2929,0.0822,0.8143530063729565,0.9849397590361446,2.1904967400892144
2025-04-24,0.198,0.262,0.064,0.7639235245220283,0.9548192771084337,1.7198633728939838
2025-04-25,0.203,0.2397,0.03669999999999998,0.6882793017456359,0.891566265060241,1.0139133221011374
2025-04-28,0.2429,0.3167,0.07379999999999998,0.7910778609032972,0.9789156626506024,1.9732813398452613
2025-04-29,0.2093,0.255,0.04569999999999999,0.7132169576059849,0.9156626506024096,1.246644108076801
2025-05-04,0.2162,0.2656,0.0494,0.7234691050152396,0.927710843373494,1.3423223200890184
2025-05-07,0.1541,0.1947,0.040600000000000025,0.6990856192851206,0.9066265060240963,1.1147633293572592
2025-05-12,0.1491,0.1883,0.039199999999999985,0.6952064283735107,0.8975903614457831,1.0785607626499327
2025-06-13,0.1789,0.2207,0.041800000000000004,0.7024106400665004,0.9096385542168675,1.1457941008206805
2025-06-30,0.1103,0.1868,0.0765,0.7985591576614021,0.9819277108433735,2.0431005756379608
2025-07-15,0.0918,0.1306,0.03879999999999999,0.6940980881130507,0.8945783132530121,1.0682171721621256
2025-07-31,0.1507,0.1978,0.0471,0.717096148517595,0.9216867469879518,1.2828466747841267
2025-08-27,0.1071,0.1534,0.04630000000000001,0.714879467996675,0.9186746987951807,1.2621594938085123
2025-09-05,0.1117,0.1519,0.040200000000000014,0.6979772790246606,0.9036144578313253,1.1044197388694517
2025-09-12,0.0844,0.1417,0.05729999999999999,0.745358825159324,0.9487951807228916,1.5466082322232118
